Departamento,Municipio,URL,Poblacion
Antioquia,Olaya,https://www.municipios.com.co/antioquia/olaya,Población 2.906
Antioquia,Peñol,https://www.municipios.com.co/antioquia/penol,Población 16.177
Antioquia,Peque,https://www.municipios.com.co/antioquia/peque,Población 7.520
Antioquia,Pueblorrico,https://www.municipios.com.co/antioquia/pueblorrico,Población 8.168
Antioquia,Puerto Berrío,https://www.municipios.com.co/antioquia/puerto-berrio,Población 38.944
Antioquia,Puerto Nare,https://www.municipios.com.co/antioquia/puerto-nare,Población 16.711
Antioquia,Puerto Triunfo,https://www.municipios.com.co/antioquia/puerto-triunfo,Población 16.349
Antioquia,Remedios,https://www.municipios.com.co/antioquia/remedios,Población 20.675
Antioquia,Retiro,https://www.municipios.com.co/antioquia/retiro,Población 16.974
Antioquia,Rionegro,https://www.municipios.com.co/antioquia/rionegro,Población 101.046
Antioquia,Sabanalarga,https://www.municipios.com.co/antioquia/sabanalarga,Población 8.136
Antioquia,Sabaneta,https://www.municipios.com.co/antioquia/sabaneta,Población 44.874
Antioquia,Salgar,https://www.municipios.com.co/antioquia/salgar,Población 18.074
Antioquia,San Andrés,https://www.municipios.com.co/antioquia/san-andres,Población 4.629
Antioquia,San Carlos,https://www.municipios.com.co/antioquia/san-carlos,Población 11.854
Antioquia,San Francisco,https://www.municipios.com.co/antioquia/san-francisco,Población 6.273
Antioquia,San Jerónimo,https://www.municipios.com.co/antioquia/san-jeronimo,Población 11.603
Antioquia,San José De La Montaña,https://www.municipios.com.co/antioquia/san-jose-de-la-montana,Población 3.077
Antioquia,San Juan De Urabá,https://www.municipios.com.co/antioquia/san-juan-de-uraba,Población 20.938
Antioquia,San Luis,https://www.municipios.com.co/antioquia/san-luis,Población 10.780
Antioquia,San Pedro,https://www.municipios.com.co/antioquia/san-pedro,Población 22.100
Antioquia,San Pedro De Uraba,https://www.municipios.com.co/antioquia/san-pedro-de-uraba,Población 28.747
Antioquia,San Rafael,https://www.municipios.com.co/antioquia/san-rafael,Población 13.203
Antioquia,San Roque,https://www.municipios.com.co/antioquia/san-roque,Población 17.958
Antioquia,San Vicente,https://www.municipios.com.co/antioquia/san-vicente,Población 19.273
Antioquia,Santa Bárbara,https://www.municipios.com.co/antioquia/santa-barbara,Población 23.442
Antioquia,Santa Rosa De Osos,https://www.municipios.com.co/antioquia/santa-rosa-de-osos,Población 31.028
Antioquia,Santafé De Antioquia,https://www.municipios.com.co/antioquia/santafe-de-antioquia,Población 22.613
Antioquia,Santo Domingo,https://www.municipios.com.co/antioquia/santo-domingo,Población 11.418
Antioquia,Segovia,https://www.municipios.com.co/antioquia/segovia,Población 34.324
Antioquia,Sonsón,https://www.municipios.com.co/antioquia/sonson,Población 37.065
Antioquia,Sopetrán,https://www.municipios.com.co/antioquia/sopetran,Población 13.352
Antioquia,Támesis,https://www.municipios.com.co/antioquia/tamesis,Población 16.212
Antioquia,Tarazá,https://www.municipios.com.co/antioquia/taraza,Población 30.633
Antioquia,Tarso,https://www.municipios.com.co/antioquia/tarso,Población 7.120
Antioquia,Titiribí,https://www.municipios.com.co/antioquia/titiribi,Población 13.324
Antioquia,Toledo,https://www.municipios.com.co/antioquia/toledo,Población 5.129
Antioquia,Turbo,https://www.municipios.com.co/antioquia/turbo,Población 122.780
Antioquia,Uramita,https://www.municipios.com.co/antioquia/uramita,Población 7.262
Antioquia,Urrao,https://www.municipios.com.co/antioquia/urrao,Población 32.439
Antioquia,Valdivia,https://www.municipios.com.co/antioquia/valdivia,Población 16.489
Antioquia,Valparaíso,https://www.municipios.com.co/antioquia/valparaiso,Población 6.281
Antioquia,Vegachí,https://www.municipios.com.co/antioquia/vegachi,Población 11.086
Antioquia,Venecia,https://www.municipios.com.co/antioquia/venecia,Población 13.352
Antioquia,Vigía Del Fuerte,https://www.municipios.com.co/antioquia/vigia-del-fuerte,Población 5.320
Antioquia,Yalí,https://www.municipios.com.co/antioquia/yali,Población 6.273
Antioquia,Yarumal,https://www.municipios.com.co/antioquia/yarumal,Población 31.816
Antioquia,Yolombó,https://www.municipios.com.co/antioquia/yolombo,Población 20.099
Antioquia,Yondó,https://www.municipios.com.co/antioquia/yondo,Población 13.475
Antioquia,Zaragoza,https://www.municipios.com.co/antioquia/zaragoza,Población 25.173
Arauca,Arauca,https://www.municipios.com.co/arauca/arauca,Población 68.222
Arauca,Arauquita,https://www.municipios.com.co/arauca/arauquita,Población 15.951
Arauca,Cravo Norte,https://www.municipios.com.co/arauca/cravo-norte,Población 2.970
Arauca,Fortul,https://www.municipios.com.co/arauca/fortul,Población 4.393
Arauca,Puerto Rondón,https://www.municipios.com.co/arauca/puerto-rondon,Población 2.656
Arauca,Saravena,https://www.municipios.com.co/arauca/saravena,Población 35.279
Arauca,Tame,https://www.municipios.com.co/arauca/tame,Población 23.557
Atlántico,Baranoa,https://www.municipios.com.co/atlantico/baranoa,Población 50.261
Atlántico,Barranquilla,https://www.municipios.com.co/atlantico/barranquilla,Población 1.112.889
Atlántico,Campo De La Cruz,https://www.municipios.com.co/atlantico/campo-de-la-cruz,Población 18.354
Atlántico,Candelaria,https://www.municipios.com.co/atlantico/candelaria,Población 11.635
Atlántico,Galapa,https://www.municipios.com.co/atlantico/galapa,Población 31.596
Atlántico,Juan De Acosta,https://www.municipios.com.co/atlantico/juan-de-acosta,Población 14.184
Atlántico,Luruaco,https://www.municipios.com.co/atlantico/luruaco,Población 22.878
Atlántico,Malambo,https://www.municipios.com.co/atlantico/malambo,Población 99.058
Atlántico,Manatí,https://www.municipios.com.co/atlantico/manati,Población 13.456
Atlántico,Palmar De Varela,https://www.municipios.com.co/atlantico/palmar-de-varela,Población 23.012
Atlántico,Piojó,https://www.municipios.com.co/atlantico/piojo,Población 4.874
Atlántico,Polonuevo,https://www.municipios.com.co/atlantico/polonuevo,Población 13.518
Atlántico,Ponedera,https://www.municipios.com.co/atlantico/ponedera,Población 18.430
Atlántico,Puerto Colombia,https://www.municipios.com.co/atlantico/puerto-colombia,Población 26.932
Atlántico,Repelón,https://www.municipios.com.co/atlantico/repelon,Población 22.196
Atlántico,Sabanagrande,https://www.municipios.com.co/atlantico/sabanagrande,Población 24.880
Atlántico,Sabanalarga,https://www.municipios.com.co/atlantico/sabanalarga,Población 84.410
Atlántico,Santa Lucía,https://www.municipios.com.co/atlantico/santa-lucia,Población 11.947
Atlántico,Santo Tomás,https://www.municipios.com.co/atlantico/santo-tomas,Población 23.188
Atlántico,Soledad,https://www.municipios.com.co/atlantico/soledad,Población 455.796
Atlántico,Suan,https://www.municipios.com.co/atlantico/suan,Población 9.344
Atlántico,Tubará,https://www.municipios.com.co/atlantico/tubara,Población 10.602
Atlántico,Usiacurí,https://www.municipios.com.co/atlantico/usiacuri,Población 8.561
Bolívar,Achí,https://www.municipios.com.co/bolivar/achi,Población 19.629
Bolívar,Altos Del Rosario,https://www.municipios.com.co/bolivar/altos-del-rosario,Población 10.695
Bolívar,Arenal,https://www.municipios.com.co/bolivar/arenal,Población 7.364
Bolívar,Arjona,https://www.municipios.com.co/bolivar/arjona,Población 60.600
Bolívar,Arroyohondo,https://www.municipios.com.co/bolivar/arroyohondo,Población 8.825
Bolívar,Barranco De Loba,https://www.municipios.com.co/bolivar/barranco-de-loba,Población 15.186
Bolívar,Calamar,https://www.municipios.com.co/bolivar/calamar,Población 20.771
Bolívar,Cantagallo,https://www.municipios.com.co/bolivar/cantagallo,Población 7.839
Bolívar,Cartagena,https://www.municipios.com.co/bolivar/cartagena,Población 895.400
Bolívar,Cicuco,https://www.municipios.com.co/bolivar/cicuco,Población 10.981
Bolívar,Clemencia,https://www.municipios.com.co/bolivar/clemencia,Población 11.699
Bolívar,Córdoba,https://www.municipios.com.co/bolivar/cordoba,Población 12.824
Bolívar,El Carmen De Bolívar,https://www.municipios.com.co/bolivar/el-carmen-de-bolivar,Población 66.001
Bolívar,El Guamo,https://www.municipios.com.co/bolivar/el-guamo,Población 7.754
Bolívar,El Peñón,https://www.municipios.com.co/bolivar/el-penon,Población 7.871
Bolívar,Hatillo De Loba,https://www.municipios.com.co/bolivar/hatillo-de-loba,Población 11.316
Bolívar,Magangué,https://www.municipios.com.co/bolivar/magangue,Población 121.085
Bolívar,Mahates,https://www.municipios.com.co/bolivar/mahates,Población 22.983
Bolívar,Margarita,https://www.municipios.com.co/bolivar/margarita,Población 9.368
Bolívar,María La Baja,https://www.municipios.com.co/bolivar/maria-la-baja,Población 45.262
